Gene	Transcripts
NISCH	NM_007184.3
NIT1	NM_005600.2
NIT2	NM_020202.4
NKAIN1	NM_024522.2
NKAIN2	NM_001040214.1
NKAIN3	NM_173688.2
NKAIN4	NM_152864.3
NKAP	NM_024528.3
NKAPL	NM_001007531.2
NKD1	NM_033119.4
NKD2	NM_033120.3
NKG7	NM_005601.3
NKIRAS1	NM_020345.3
NKIRAS2	NM_001144927.1
NKPD1	NM_198478.3
NKRF	NM_001173487.1
NKTR	NM_005385.3
NKX1-2	NM_001146340.1
NKX2-1	NM_001079668.2
NKX2-2	NM_002509.3
NKX2-3	NM_145285.2
NKX2-4	NM_033176.1
NKX2-5	NM_004387.3
NKX2-6	NM_001136271.2
NKX2-8	NM_014360.2
NKX3-1	NM_006167.3
NKX3-2	NM_001189.3
NKX6-1	NM_006168.2
NKX6-2	NM_177400.2
NKX6-3	NM_152568.2
NLE1	NM_018096.3
NLGN1	NM_014932.3
NLGN2	NM_020795.3
NLGN3	NM_181303.1
NLGN4X	NM_181332.1
NLGN4Y	NM_014893.4
NLK	NM_016231.4
NLN	NM_020726.4
NLRC3	NM_178844.2
NLRC4	NM_001199139.1
NLRC5	NM_032206.4
NLRP1	NM_033004.3
NLRP10	NM_176821.3
NLRP11	NM_145007.3
NLRP12	NM_144687.3
NLRP13	NM_176810.2
NLRP14	NM_176822.3
NLRP2	NM_001174081.1
NLRP3	NM_001079821.2
NLRP4	NM_134444.4
NLRP5	NM_153447.4
NLRP6	NM_138329.2
NLRP7	NM_001127255.1
NLRP8	NM_176811.2
NLRP9	NM_176820.2
NLRX1	NM_024618.2
NMB	NM_205858.1
NMBR	NM_002511.2
NMD3	NM_015938.3
NME1-NME2	NM_001018136.2
NME3	NM_002513.2
NME4	NM_005009.2
NME5	NM_003551.2
NME6	NM_005793.3
NME7	NM_013330.3
NME9	NM_178130.2
NMI	NM_004688.2
NMNAT1	NM_022787.3
NMNAT2	NM_015039.3
NMNAT3	NM_178177.3
NMRAL1	NM_020677.3
NMS	NM_001011717.1
NMT1	NM_021079.3
NMT2	NM_004808.2
NMU	NM_006681.2
NMUR1	NM_006056.4
NMUR2	NM_020167.4
NNAT	NM_005386.2
NNMT	NM_006169.2
NNT	NM_182977.2
NOA1	NM_032313.2
NOB1	NM_014062.2
NOBOX	NM_001080413.3
NOC2L	NM_015658.3
NOC3L	NM_022451.9
NOC4L	NM_024078.1
NOD1	NM_006092.2
NOD2	NM_022162.1
NODAL	NM_018055.4
NOG	NM_005450.4
NOL10	NM_024894.3
NOL11	NM_015462.3
NOL12	NM_024313.2
NOL3	NM_001185057.2
NOL4	NM_003787.4
NOL6	NM_022917.4
NOL7	NM_016167.3
NOL8	NM_017948.5
NOL9	NM_024654.4
NOLC1	NM_004741.3
NOM1	NM_138400.1
NOMO1	NM_014287.3
NOMO2	NM_001004060.1
NOMO3	NM_001004067.3
NONO	NM_001145409.1
NOP10	NM_018648.3
NOP14	NM_003703.1
NOP16	NM_016391.5
NOP2	NM_006170.3
NOP56	NM_006392.3
NOP58	NM_015934.3
NOS1	NM_001204218.1
NOS1AP	NM_014697.2
NOS2	NM_000625.4
NOS3	NM_000603.4
NOSIP	NM_015953.4
NOSTRIN	NM_001039724.3
NOTCH1	NM_017617.3
NOTCH2	NM_024408.3
NOTCH2NL	NM_203458.4
NOTCH3	NM_000435.2
NOTCH4	NM_004557.3
NOTO	NM_001134462.1
NOTUM	NM_178493.5
NOV	NM_002514.3
NOVA1	NM_002515.2
NOVA2	NM_002516.2
NOX1	NM_007052.4
NOX3	NM_015718.2
NOX4	NM_016931.3
NOX5	NM_024505.3
NOXA1	NM_006647.1
NOXO1	NM_172168.2
NOXRED1	NM_001113475.2
NPAS1	NM_002517.2
NPAS2	NM_002518.3
NPAS3	NM_001164749.1
NPAS4	NM_178864.3
NPAT	NM_002519.2
NPB	NM_148896.3
NPBWR1	NM_005285.3
NPBWR2	NM_005286.2
NPC1	NM_000271.4
NPC1L1	NM_013389.2
NPC2	NM_006432.3
NPDC1	NM_015392.3
NPEPL1	NM_024663.3
NPEPPS	NM_006310.3
NPFF	NM_003717.2
NPFFR1	NM_022146.4
NPFFR2	NM_004885.2
NPHP1	NM_001128178.1
NPHP3	NM_153240.4
NPHP4	NM_015102.3
NPHS1	NM_004646.3
NPHS2	NM_014625.2
NPIP	NM_006985.2
NPIPL3	NM_130464.2
NPL	NM_030769.2
NPLOC4	NM_017921.2
NPM1	NM_002520.6
NPM2	NM_182795.1
NPM3	NM_006993.2
NPNT	NM_001184691.1
NPPA	NM_006172.3
NPPB	NM_002521.2
NPPC	NM_024409.2
NPR1	NM_000906.3
NPR2	NM_003995.3
NPR3	NM_001204375.1
NPRL2	NM_006545.4
NPRL3	NM_001077350.2
NPS	NM_001030013.1
NPSR1	NM_207172.1
NPTN	NM_012428.3
NPTX1	NM_002522.3
NPTX2	NM_002523.2
NPTXR	NM_014293.3
NPVF	NM_022150.3
NPW	NM_001099456.2
NPY	NM_000905.3
NPY1R	NM_000909.5
NPY2R	NM_000910.2
NPY5R	NM_006174.2
NQO1	NM_000903.2
NQO2	NM_000904.3
NR0B1	NM_000475.4
NR0B2	NM_021969.2
NR1D1	NM_021724.4
NR1D2	NM_005126.4
NR1H2	NM_007121.5
NR1H3	NM_005693.3
NR1H4	NM_001206993.1
NR1I2	NM_022002.2
NR1I3	NM_005122.4
NR2C1	NM_003297.3
NR2C2	NM_003298.3
NR2C2AP	NM_176880.4
NR2E1	NM_003269.3
NR2E3	NM_016346
NR2F1	NM_005654.4
NR2F2	NM_021005.3
NR2F6	NM_005234.3
NR3C1	NM_001018076.1
NR3C2	NM_000901.4
NR4A1	NM_173157.2
NR4A2	NM_006186.3
NR4A3	NM_006981.3
NR5A1	NM_004959.4
NR5A2	NM_205860.2
NR6A1	NM_033334.3
NRAP	NM_198060.3
NRARP	NM_001004354.2
NRAS	NM_002524.4
NRBF2	NM_030759.3
NRBP1	NM_013392.2
NRBP2	NM_178564.3
NRCAM	NM_001037132.2
NRD1	NM_002525.2
NREP	NM_001142475.1
NRF1	NM_005011.3
NRG1	NM_013956.3
NRG2	NM_013982.2
NRG3	NM_001010848.3
NRG4	NM_138573.3
NRGN	NM_001126181.1
NRIP1	NM_003489.3
NRIP2	NM_031474.2
NRIP3	NM_020645.2
NRK	NM_198465.2
NRL	NM_006177.3
NRM	NM_007243.2
NRN1	NM_016588.2
NRN1L	NM_198443.1
NRP1	NM_003873.5
NRP2	NM_201266.1
NRSN1	NM_080723.4
NRSN2	NM_024958.2
NRTN	NM_004558.3
NRXN1	NM_004801.4
NRXN2	NM_015080.3
NRXN3	NM_004796.5
NSA2	NM_014886.4
NSD1	NM_022455.4
NSDHL	NM_015922.2
NSF	NM_006178.3
NSFL1C	NM_016143.4
NSL1	NM_015471.3
NSMAF	NM_001144772.1
NSMCE1	NM_145080.3
NSMCE2	NM_173685.2
NSMCE4A	NM_017615.2
NSRP1	NM_032141.3
NSUN2	NM_017755.5
NSUN3	NM_022072.3
NSUN4	NM_199044.3
NSUN5	NM_148956.3
NSUN6	NM_182543.2
NSUN7	NM_024677.4
NT5C	NM_014595.2
NT5C1A	NM_032526.1
NT5C1B-RDH14	NM_001199103.1
NT5C2	NM_001134373.2
NT5C3	NM_001002010.2
NT5C3L	NM_052935.4
NT5DC1	NM_152729.2
NT5DC2	NM_001134231.1
NT5DC3	NM_001031701.2
NT5E	NM_002526.3
NT5M	NM_020201.3
NTAN1	NM_173474.3
NTF3	NM_001102654.1
NTF4	NM_006179.4
NTHL1	NM_002528.5
NTM	NM_001144058.1
NTN1	NM_004822.2
NTN3	NM_006181.2
NTN4	NM_021229.3
NTN5	NM_145807.1
NTNG1	NM_014917.2
NTNG2	NM_032536.2
NTPCR	NM_032324.1
NTRK1	NM_002529.3
NTRK2	NM_006180.3
NTRK3	NM_001012338.2
NTS	NM_006183.4
NTSR1	NM_002531.2
NTSR2	NM_012344.3
NUAK1	NM_014840.2
NUAK2	NM_030952.1
NUB1	NM_001243351.1
NUBP1	NM_002484.3
NUBP2	NM_012225.2
NUBPL	NM_025152.2
NUCB1	NM_006184.5
NUCB2	NM_005013.2
NUCKS1	NM_022731.4
NUDC	NM_006600.3
NUDCD1	NM_032869.3
NUDCD2	NM_145266.4
NUDCD3	NM_015332.3
NUDT1	NM_198949.1
NUDT10	NM_153183.2
NUDT11	NM_018159.3
NUDT12	NM_031438.2
NUDT13	NM_015901.4
NUDT14	NM_177533.4
NUDT15	NM_018283.1
NUDT16	NM_001171906.1
NUDT16L1	NM_032349.3
NUDT17	NM_001012758.2
NUDT18	NM_024815.3
NUDT19	NM_001105570.1
NUDT2	NM_001244390
NUDT21	NM_007006.2
NUDT22	NM_001128612.2
NUDT4	NM_019094.4
NUDT5	NM_014142.2
NUDT6	NM_007083.4
NUDT7	NM_001105663.2
NUDT8	NM_001243750.1
NUDT9	NM_024047.4
NUF2	NM_031423.3
NUFIP1	NM_012345.2
NUFIP2	NM_020772.2
NUMA1	NM_006185.2
NUMB	NM_001005743.1
NUMBL	NM_004756.3
NUP107	NM_020401.2
NUP133	NM_018230.2
NUP153	NM_005124.3
NUP155	NM_153485.2
NUP160	NM_015231.1
NUP188	NM_015354.2
NUP205	NM_015135.2
NUP210	NM_024923.3
NUP210L	NM_207308.2
NUP214	NM_005085.3
NUP35	NM_138285.3
NUP37	NM_024057.2
NUP43	NM_198887.1
NUP50	NM_007172.3
NUP54	NM_017426.3
NUP62	NM_001193357.1
NUP62CL	NM_017681.2
NUP85	NM_024844.3
NUP88	NM_002532.4
NUP93	NM_014669.4
NUP98	NM_016320.4
NUPL1	NM_014089.3
NUPL2	NM_007342.2
NUPR1	NM_001042483.1
NUS1	NM_138459.3
NUSAP1	NM_018454.7
NUTF2	NM_005796.1
NVL	NM_002533.3
NWD1	NM_001007525.3
NXF1	NM_006362.4
NXF2	NM_022053.2
NXF3	NM_022052.1
NXF5	NM_032946.2
NXN	NM_022463.4
NXNL1	NM_138454.1
NXNL2	NM_001161625.1
NXPH1	NM_152745.2
NXPH2	NM_007226.2
NXPH3	NM_007225.2
NXPH4	NM_007224.3
NXT1	NM_013248.2
NXT2	NM_018698.4
NYAP1	NM_173564.3
NYAP2	NM_020864.1
NYNRIN	NM_025081.2
NYX	NM_022567.2
OAF	NM_178507.2
OAS1	NM_016816.2
OAS2	NM_016817.2
OAS3	NM_006187.2
OASL	NM_003733.3
OAT	NM_000274.3
OAZ1	NM_004152.2
OAZ2	NM_002537.2
OAZ3	NM_016178.2
OBFC1	NM_024928.4
OBP2A	NM_014582.2
OBP2B	NM_014581.2
OBSCN	NM_001098623.2
OBSL1	NM_015311.2
OC90	NM_001080399.2
OCA2	NM_000275.2
OCEL1	NM_024578.1
OCIAD1	NM_001168254.1
OCIAD2	NM_001014446.1
OCLM	NM_022375.3
OCLN	NM_001205255.1
OCM	NM_001097622.1
OCM2	NM_006188.3
OCRL	NM_000276.3
ODAM	NM_017855.3
ODC1	NM_002539.1
ODF1	NM_024410.3
ODF2	NM_153435.1
ODF2L	NM_001007022.2
ODF3	NM_053280.3
ODF3B	NM_001014440.3
ODF3L1	NM_175881.3
ODF3L2	NM_182577.2
ODF4	NM_153007.4
OFD1	NM_003611.2
OGDH	NM_002541.3
OGDHL	NM_018245.2
OGFOD1	NM_018233.3
OGFOD2	NM_024623.1
OGFR	NM_007346.2
OGFRL1	NM_024576.3
OGG1	NM_016820.3
OGN	NM_014057.3
OGT	NM_181672.2
OIP5	NM_007280.1
OIT3	NM_152635.1
OLA1	NM_013341.3
OLAH	NM_001039702.2
OLFM1	NM_014279.4
OLFM2	NM_058164.2
OLFM3	NM_058170.2
OLFM4	NM_006418.4
OLFML1	NM_198474.3
OLFML2A	NM_182487.2
OLFML2B	NM_015441.1
OLFML3	NM_020190.2
OLIG1	NM_138983.2
OLIG2	NM_005806.3
OLIG3	NM_175747.2
OLR1	NM_002543.3
OMA1	NM_145243.3
OMD	NM_005014.2
OMG	NM_002544.4
OMP	NM_006189.1
ONECUT1	NM_004498.2
ONECUT2	NM_004852.2
ONECUT3	NM_001080488.1
OOEP	NM_001080507.2
OPA1	NM_130837.2
OPA3	NM_001017989.2
OPALIN	NM_033207.3
OPCML	NM_002545.3
OPHN1	NM_002547.2
OPLAH	NM_017570.3
OPN1LW	NM_020061.4
OPN1MW	NM_000513.2
OPN1SW	NM_001708.2
OPN3	NM_014322.2
OPN4	NM_001030015.2
OPN5	NM_181744.3
OPRD1	NM_000911.3
OPRK1	NM_000912.3
OPRL1	NM_001200019.1
OPRM1	NM_001008505.1
OPTC	NM_014359.3
OPTN	NM_021980.4
OR10A2	NM_001004460.1
OR10A3	NM_001003745.1
OR10A4	NM_207186.2
OR10A5	NM_178168.1
OR10A6	NM_001004461.1
OR10A7	NM_001005280.1
OR10AD1	NM_001004134.1
OR10AG1	NM_001005491.1
OR10C1	NM_013941.3
OR10G2	NM_001005466.1
OR10G3	NM_001005465.1
OR10G4	NM_001004462.1
OR10G7	NM_001004463.1
OR10G8	NM_001004464.1
OR10G9	NM_001001953.1
OR10H1	NM_013940.2
OR10H2	NM_013939.2
OR10H3	NM_013938.1
OR10H4	NM_001004465.1
OR10H5	NM_001004466.1
OR10J1	NM_012351.2
OR10J3	NM_001004467.1
OR10J5	NM_001004469.1
OR10K1	NM_001004473.1
OR10K2	NM_001004476.1
OR10P1	NM_206899.1
OR10Q1	NM_001004471.2
OR10R2	NM_001004472.1
OR10S1	NM_001004474.1
OR10T2	NM_001004475.1
OR10V1	NM_001005324.1
OR10W1	NM_207374.3
OR10X1	NM_001004477.1
OR10Z1	NM_001004478.1
OR11A1	NM_013937.2
OR11G2	NM_001005503.1
OR11H1	NM_001005239.1
OR11H12	NM_001013354.1
OR11H2	NM_001197287.1
OR11H4	NM_001004479.1
OR11H6	NM_001004480.1
OR11L1	NM_001001959.1
OR12D2	NM_013936.3
OR12D3	NM_030959.2
OR13A1	NM_001004297.2
OR13C2	NM_001004481.1
OR13C3	NM_001001961.1
OR13C4	NM_001001919.1
OR13C5	NM_001004482.1
OR13C8	NM_001004483.1
OR13C9	NM_001001956.1
OR13D1	NM_001004484.1
OR13F1	NM_001004485.1
OR13G1	NM_001005487.1
OR13H1	NM_001004486.1
OR13J1	NM_001004487.1
OR14A16	NM_001001966.1
OR14C36	NM_001001918.1
OR14I1	NM_001004734.1
OR14J1	NM_030946.1
OR1A1	NM_014565.2
OR1A2	NM_012352.1
OR1B1	NM_001004450.1
OR1C1	NM_012353.2
OR1D2	NM_002548.2
OR1D5	NM_014566.1
OR1E1	NM_003553.2
OR1E2	NM_003554.1
OR1F1	NM_012360.1
OR1G1	NM_003555.1
OR1I1	NM_001004713.1
OR1J1	NM_001004451.1
OR1J2	NM_054107.1
OR1J4	NM_001004452.1
OR1K1	NM_080859.1
OR1L1	NM_001005236.3
OR1L3	NM_001005234.1
OR1L4	NM_001005235.1
OR1L6	NM_001004453.2
OR1L8	NM_001004454.1
OR1M1	NM_001004456.1
OR1N1	NM_012363.1
OR1N2	NM_001004457.1
OR1Q1	NM_012364.1
OR1S1	NM_001004458.1
OR1S2	NM_001004459.1
OR2A1	NM_001005287.1
OR2A12	NM_001004135.1
OR2A14	NM_001001659.1
OR2A2	NM_001005480.2
OR2A25	NM_001004488.1
OR2A4	NM_030908.1
OR2A5	NM_012365.1
OR2A7	NM_001005328.1
OR2AE1	NM_001005276.1
OR2AG1	NM_001004489.2
OR2AG2	NM_001004490.1
OR2AK2	NM_001004491.1
OR2AT4	NM_001005285.1
OR2B11	NM_001004492.1
OR2B2	NM_033057.2
OR2B3	NM_001005226.2
OR2B6	NM_012367.1
OR2C1	NM_012368.2
OR2C3	NM_198074.4
OR2D2	NM_003700.1
OR2D3	NM_001004684.1
OR2F1	NM_012369.2
OR2F2	NM_001004685.1
OR2G2	NM_001001915.1
OR2G3	NM_001001914.1
OR2G6	NM_001013355.1
OR2H1	NM_030883.3
OR2H2	NM_007160.3
OR2J2	NM_030905.2
OR2J3	NM_001005216.3
OR2K2	NM_205859.1
OR2L13	NM_175911.2
OR2L2	NM_001004686.2
OR2L3	NM_001004687.1
OR2L8	NM_001001963.1
OR2M2	NM_001004688.1
OR2M3	NM_001004689.1
OR2M4	NM_017504.1
OR2M5	NM_001004690.1
OR2M7	NM_001004691.1
OR2S2	NM_019897.2
OR2T1	NM_030904.1
OR2T10	NM_001004693.1
OR2T11	NM_001001964.1
OR2T12	NM_001004692.1
OR2T2	NM_001004136.1
OR2T27	NM_001001824.1
OR2T29	NM_001004694.2
OR2T3	NM_001005495.1
OR2T33	NM_001004695.1
OR2T34	NM_001001821.1
OR2T35	NM_001001827.1
OR2T4	NM_001004696.1
OR2T5	NM_001004697.1
OR2T6	NM_001005471.1
OR2T8	NM_001005522.1
OR2V2	NM_206880.1
OR2W1	NM_030903.3
OR2W3	NM_001001957.2
OR2W5	NM_001004698
OR2Y1	NM_001001657.1
OR2Z1	NM_001004699.1
OR3A1	NM_002550.2
OR3A2	NM_002551.3
OR3A3	NM_012373.2
OR4A15	NM_001005275.1
OR4A16	NM_001005274.1
OR4A47	NM_001005512.2
OR4A5	NM_001005272.3
OR4B1	NM_001005470.1
OR4C11	NM_001004700.2
OR4C12	NM_001005270.2
OR4C13	NM_001001955.2
OR4C15	NM_001001920.1
OR4C16	NM_001004701.2
OR4C3	NM_001004702.1
OR4C45	NM_001005513
OR4C46	NM_001004703.1
OR4C6	NM_001004704.1
OR4D1	NM_012374.1
OR4D10	NM_001004705.1
OR4D11	NM_001004706.1
OR4D2	NM_001004707.3
OR4D5	NM_001001965.1
OR4D6	NM_001004708.1
OR4D9	NM_001004711.1
OR4E2	NM_001001912.1
OR4F15	NM_001001674.1
OR4F16	NM_001005277.1
OR4F17	NM_001005240.1
OR4F21	NM_001005504.1
OR4F4	NM_001004195.2
OR4F5	NM_001005484.1
OR4F6	NM_001005326.1
OR4K1	NM_001004063.2
OR4K13	NM_001004714.1
OR4K14	NM_001004712.1
OR4K15	NM_001005486.1
OR4K17	NM_001004715.1
OR4K2	NM_001005501.1
OR4K5	NM_001005483.1
OR4L1	NM_001004717.1
OR4M1	NM_001005500.1
OR4M2	NM_001004719.2
OR4N2	NM_001004723.1
OR4N4	NM_001005241.2
OR4N5	NM_001004724.1
OR4P4	NM_001004124.1
OR4Q3	NM_172194.1
OR4S1	NM_001004725.1
OR4S2	NM_001004059.2
OR4X1	NM_001004726.1
OR4X2	NM_001004727.1
OR51A2	NM_001004748.1
OR51A4	NM_001005329.1
OR51A7	NM_001004749.1
OR51B2	NM_033180.4
OR51B4	NM_033179.2
OR51B5	NM_001005567.2
OR51B6	NM_001004750.1
OR51D1	NM_001004751.2
OR51E1	NM_152430.3
OR51E2	NM_030774.3
OR51F1	NM_001004752.1
OR51F2	NM_001004753.1
OR51G1	NM_001005237.1
OR51G2	NM_001005238.1
OR51I1	NM_001005288.2
OR51I2	NM_001004754.2
OR51L1	NM_001004755.1
OR51M1	NM_001004756.2
OR51Q1	NM_001004757.2
OR51S1	NM_001004758.1
OR51T1	NM_001004759.1
OR51V1	NM_001004760.2
OR52A1	NM_012375.2
OR52A5	NM_001005160.2
OR52B2	NM_001004052.1
OR52B4	NM_001005161.3
OR52B6	NM_001005162.2
OR52D1	NM_001005163.2
OR52E2	NM_001005164.2
OR52E4	NM_001005165.1
OR52E6	NM_001005167.1
OR52E8	NM_001005168.1
OR52H1	NM_001005289.1
OR52I1	NM_001005169.1
OR52I2	NM_001005170.2
OR52J3	NM_001001916.2
OR52K1	NM_001005171.2
OR52K2	NM_001005172.2
OR52L1	NM_001005173.2
OR52M1	NM_001004137.1
OR52N1	NM_001001913.1
OR52N2	NM_001005174.1
OR52N4	NM_001005175.3
OR52N5	NM_001001922.2
OR52R1	NM_001005177.3
OR52W1	NM_001005178.1
OR56A1	NM_001001917.2
OR56A3	NM_001003443.2
OR56A4	NM_001005179.2
OR56A5	NM_001146033
OR56B1	NM_001005180.2
OR56B4	NM_001005181.1
OR5A1	NM_001004728.1
OR5A2	NM_001001954.1
OR5AC2	NM_054106.1
OR5AK2	NM_001005323.1
OR5AN1	NM_001004729.1
OR5AP2	NM_001002925.1
OR5AR1	NM_001004730.1
OR5AS1	NM_001001921.1
OR5AU1	NM_001004731.1
OR5B12	NM_001004733.2
OR5B17	NM_001005489.1
OR5B2	NM_001005566.2
OR5B21	NM_001005218.1
OR5B3	NM_001005469.1
OR5C1	NM_001001923.1
OR5D13	NM_001001967.1
OR5D14	NM_001004735.1
OR5D16	NM_001005496.1
OR5D18	NM_001001952.1
OR5F1	NM_003697.1
OR5H1	NM_001005338.1
OR5H14	NM_001005514.1
OR5H15	NM_001005515.1
OR5H2	NM_001005482.1
OR5H6	NM_001005479.1
OR5I1	NM_006637.1
OR5J2	NM_001005492.1
OR5K1	NM_001004736.2
OR5K2	NM_001004737.1
OR5K3	NM_001005516.1
OR5K4	NM_001005517.1
OR5L1	NM_001004738.1
OR5L2	NM_001004739.1
OR5M1	NM_001004740.1
OR5M10	NM_001004741.1
OR5M11	NM_001005245.1
OR5M3	NM_001004742.2
OR5M8	NM_001005282.1
OR5M9	NM_001004743.1
OR5P2	NM_153444.1
OR5P3	NM_153445.1
OR5R1	NM_001004744.1
OR5T1	NM_001004745.1
OR5T2	NM_001004746.1
OR5T3	NM_001004747.1
OR5V1	NM_030876.5
OR5W2	NM_001001960.1
OR6A2	NM_003696.2
OR6B1	NM_001005281.1
OR6B2	NM_001005853.1
OR6B3	NM_173351.1
OR6C1	NM_001005182.1
OR6C2	NM_054105.1
OR6C3	NM_054104.1
OR6C4	NM_001005494.1
OR6C6	NM_001005493.1
OR6C65	NM_001005518.1
OR6C68	NM_001005519.2
OR6C70	NM_001005499.1
OR6C74	NM_001005490.1
OR6C75	NM_001005497.1
OR6C76	NM_001005183.1
OR6F1	NM_001005286.1
OR6K2	NM_001005279.1
OR6K3	NM_001005327.2
OR6K6	NM_001005184.1
OR6M1	NM_001005325.1
OR6N1	NM_001005185.1
OR6N2	NM_001005278.1
OR6P1	NM_001160325.1
OR6Q1	NM_001005186.2
OR6S1	NM_001001968.1
OR6T1	NM_001005187.1
OR6V1	NM_001001667.1
OR6X1	NM_001005188.1
OR6Y1	NM_001005189.1
OR7A10	NM_001005190.1
OR7A17	NM_030901.1
OR7A5	NM_017506.1
OR7C1	NM_198944.1
OR7C2	NM_012377.1
OR7D2	NM_175883.2
OR7D4	NM_001005191.2
OR7E24	NM_001079935.1
OR7G1	NM_001005192.2
OR7G2	NM_001005193.1
OR7G3	NM_001001958.1
OR8A1	NM_001005194.1
OR8B12	NM_001005195.1
OR8B2	NM_001005468.1
OR8B3	NM_001005467.1
OR8B4	NM_001005196.1
OR8B8	NM_012378.1
OR8D1	NM_001002917.1
OR8D2	NM_001002918.1
OR8D4	NM_001005197.1
OR8G1	NM_001002905.1
OR8G2	NM_001007249
OR8H1	NM_001005199.1
OR8H2	NM_001005200.1
OR8H3	NM_001005201.1
OR8I2	NM_001003750.1
OR8J1	NM_001005205.2
OR8J3	NM_001004064.1
OR8K1	NM_001002907.1
OR8K3	NM_001005202.1
OR8K5	NM_001004058.2
OR8S1	NM_001005203.2
OR8U8	NM_001013356.2
OR9A2	NM_001001658.1
OR9A4	NM_001001656.1
OR9G4	NM_001005284.1
OR9G9	NM_001013358.2
OR9I1	NM_001005211.1
OR9K2	NM_001005243.1
OR9Q1	NM_001005212.3
OR9Q2	NM_001005283.2
ORAI1	NM_032790.3
ORAI2	NM_032831.3
ORAI3	NM_152288.2
ORAOV1	NM_153451.2
ORC1	NM_001190818.1
ORC2	NM_006190.4
ORC3	NM_181837.2
ORC4	NM_181742.3
ORC5	NM_002553.3
ORC6	NM_014321.3
ORM1	NM_000607.2
ORMDL1	NM_001128150.1
ORMDL2	NM_014182.4
ORMDL3	NM_139280.2
OS9	NM_006812.3
OSBP	NM_002556.2
OSBP2	NM_030758.3
OSBPL10	NM_017784.4
OSBPL11	NM_022776.4
OSBPL1A	NM_080597.3
OSBPL2	NM_144498.2
OSBPL3	NM_015550.2
OSBPL5	NM_020896.3
OSBPL6	NM_001201480.1
OSBPL7	NM_145798.2
OSBPL8	NM_020841.4
OSBPL9	NM_148909.3
OSCAR	NM_206818.1
OSCP1	NM_145047.4
OSGEP	NM_017807.3
OSGEPL1	NM_022353.2
OSGIN1	NM_182981.2
OSGIN2	NM_001126111.1
OSM	NM_020530.4
OSMR	NM_003999.2
OSR1	NM_145260.2
OSR2	NM_001142462.1
OST4	NM_001134693.1
OSTC	NM_021227.3
OSTF1	NM_012383.4
OSTM1	NM_014028.3
OSTN	NM_198184.1
OTC	NM_000531.5
OTOA	NM_144672.3
OTOF	NM_194248.2
OTOGL	NM_173591.3
OTOL1	NM_001080440.1
OTOP1	NM_177998.1
OTOP2	NM_178160.2
OTOP3	NM_178233.2
OTOR	NM_020157.3
OTOS	NM_148961.3
OTP	NM_032109.2
OTUB1	NM_017670.2
OTUB2	NM_023112.3
OTUD1	NM_001145373.2
OTUD3	NM_015207.1
OTUD4	NM_001102653.1
OTUD5	NM_017602.3
OTUD6A	NM_207320.1
OTUD6B	NM_016023.3
OTUD7A	NM_130901.1
OTUD7B	NM_020205.3
OTX1	NM_014562.3
OTX2	NM_021728.3
OVCA2	NM_080822.2
OVCH1	NM_183378.2
OVCH2	NM_198185.3
OVGP1	NM_002557.3
OVOL1	NM_004561.3
OVOL2	NM_021220.2
OXA1L	NM_005015.3
OXCT1	NM_000436.3
OXCT2	NM_022120.1
OXER1	NM_148962.4
OXGR1	NM_080818.3
OXNAD1	NM_138381.3
OXR1	NM_001198532.1
OXSM	NM_017897.2
OXSR1	NM_005109.2
OXT	NM_000915.3
OXTR	NM_000916.3
P2RX1	NM_002558.3
P2RX2	NM_170682.2
P2RX3	NM_002559.3
P2RX4	NM_002560.2
P2RX5	NM_002561.3
P2RX6	NM_005446.3
P2RX7	NM_002562.5
P2RY1	NM_002563.3
P2RY10	NM_198333.1
P2RY12	NM_176876.2
P2RY13	NM_176894.2
P2RY14	NM_014879.3
P2RY2	NM_002564
P2RY4	NM_002565.3
P2RY6	NM_004154
P2RY8	NM_178129.4
P4HA1	NM_001017962.2
P4HA2	NM_001142599.1
P4HA3	NM_182904.3
P4HB	NM_000918.3
P4HTM	NM_177939.2
PA2G4	NM_006191.2
PAAF1	NM_025155.2
PABPC1	NM_002568.3
PABPC1L	NM_001124756.1
PABPC1L2A	NM_001012977.2
PABPC1L2B	NM_001042506.1
PABPC3	NM_030979.2
PABPC4	NM_001135653.1
PABPC4L	NM_001114734.1
PABPC5	NM_080832.2
PABPN1L	NM_001080487.2
PACRG	NM_152410.2
PACRGL	NM_145048.3
PACS1	NM_018026.3
PACS2	NM_001100913.2
PACSIN1	NM_001199583.2
PACSIN2	NM_001184970.1
PACSIN3	NM_016223.4
PADI1	NM_013358.2
PADI2	NM_007365.2
PADI3	NM_016233.2
PADI4	NM_012387.2
PADI6	NM_207421
PAEP	NM_002571.2
PAF1	NM_019088.3
PAFAH1B1	NM_000430.3
PAFAH1B2	NM_002572.3
PAFAH1B3	NM_001145940.1
PAFAH2	NM_000437.3
PAG1	NM_018440.3
PAGE1	NM_003785.3
PAGE2B	NM_001015038.2
PAGE4	NM_007003.2
PAGE5	NM_001013435.1
PAH	NM_000277.1
PAICS	NM_001079525.1
PAIP1	NM_006451.4
PAIP2	NM_016480.3
PAIP2B	NM_020459.1
PAK1	NM_002576.4
PAK1IP1	NM_017906.2
PAK2	NM_002577.4
PAK3	NM_001128168.1
PAK4	NM_001014832.1
PAK6	NM_001128628.2
PAK7	NM_177990.2
PALB2	NM_024675.3
PALLD	NM_001166108.1
PALM	NM_002579.2
