NM_000014.5	A2M
NM_001243342.1	CCDC40
NM_001243349.1	SH3D19
NM_001243351.1	NUB1
NM_001243372.1	CLCN3
NM_001243374.1	CLCN3
NM_001243385.1	PARVB
NM_001243386.1	PARVB
NM_001243392.1	SLC6A13
NM_001243399.1	GLRX2
NM_001243403.1	CLEC16A
NM_001243423.1	KIF13A
NM_001243425.1	TTC39C
NM_001243428.1	ERG
NM_001243429.1	ERG
NM_001243432.2	ERG
NM_001243438.1	SPECC1
NM_001243439.1	SPECC1
NM_001243466.1	STARD13
NM_001243467.1	UBASH3A
NM_001243473.2	B9D1
NM_001243474.1	STARD13
NM_001243475.2	B9D1
NM_001243476.2	STARD13
NM_001243491.1	SETDB1
NM_001243505.1	ESRRG
NM_001243506.1	ESRRG
NM_001243507.1	ESRRG
NM_001243509.1	ESRRG
NM_001243510.2	ESRRG
NM_001243511.2	ESRRG
NM_001243512.1	ESRRG
NM_001243513.1	ESRRG
NM_001243514.1	ESRRG
NM_001243515.1	ESRRG
NM_001243518.1	ESRRG
NM_001243519.1	ESRRG
NM_001243523.1	LOC100130880
NM_001243526.1	HYI
NM_001243531.1	UBE2Q2L
NM_001243532.1	PDIK1L
NM_001243533.1	PDIK1L
NM_001243535.1	ANKRD65
NM_001243536.1	ANKRD65
NM_001243537.1	CCDC188
NM_001243538.2	LOC283710
NM_001243539.1	IL15RA
NM_001243540.1	CEP295NL
NM_001243541.1	CEP295NL
NM_001243552.1	C17orf112
NM_001243564.1	DHDDS
NM_001243565.1	DHDDS
NM_001243571.1	MTMR2
NM_001243597.1	CDON
NM_001243598.2	FXYD6-FXYD2
NM_001243609.1	LMO3
NM_001243610.1	LMO3
NM_001243611.1	LMO3
NM_001243612.1	LMO3
NM_001243613.1	LMO3
NM_001243645.1	CFL2
NM_001243646.1	CD2BP2
NM_001243650.1	GFOD2
NM_001243657.1	NUDT7
NM_001243658.1	GLRX
NM_001243659.1	GLRX
NM_001243660.1	NUDT7
NM_001243661.1	NUDT7
NM_001243689.1	LETMD1
NM_001243702.1	ZBTB14
NM_001243704.1	ZBTB14
NM_001243718.1	RAB6A
NM_001243719.1	RAB6A
NM_001243721.1	TSPY8
NM_001243722.2	TP53TG3D
NM_001243723.1	SETMAR
NM_001243725.1	TEX264
NM_001243726.1	TEX264
NM_001243727.2	TEX264
NM_001243728.1	ATPAF1
NM_001243729.1	PQLC2L
NM_001243730.1	RARG
NM_001243731.1	RARG
NM_001243732.1	RARG
NM_001243733.1	VEGFB
NM_001243736.1	LAMTOR3
NM_001243737.1	TRAPPC13
NM_001243738.1	RGL2
NM_001243740.2	ZNF124
NM_001243743.1	FANCC
NM_001243744.1	FANCC
NM_001243745.1	CROT
NM_001243746.1	FAM20A
NM_001243747.1	API5
NM_001243749.1	C7orf49
NM_001243750.1	NUDT8
NM_001243751.1	C7orf49
NM_001243752.1	C7orf49
NM_001243753.1	C7orf49
NM_001243754.1	C7orf49
NM_001243755.1	C7orf49
NM_001243756.1	PXN
NM_001243759.1	USP2
NM_001243763.1	RABGAP1L
NM_001243764.1	RABGAP1L
NM_001243765.1	RABGAP1L
NM_001243766.1	POMGNT1
NM_001243767.1	BTF3L4
NM_001243768.1	APITD1-CORT
NM_001243770.1	SLF2
NM_001243771.1	APH1A
NM_001243772.1	APH1A
NM_001243773.1	GNG2
NM_001243774.1	GNG2
NM_001243775.1	LIMA1
NM_001243776.1	CEP57
NM_001243777.1	CEP57
NM_001243778.1	FAM213A
NM_001243779.1	FAM213A
NM_001243780.1	FAM213A
NM_001243781.1	FAM213A
NM_001243782.1	FAM213A
NM_001243783.1	BBIP1
NM_001243784.1	PDE2A
NM_001243785.1	RAG2
NM_001243786.1	RAG2
NM_001243787.1	SMUG1
NM_001243788.1	SMUG1
NM_001243789.1	SMUG1
NM_001243790.1	SMUG1
NM_001243791.1	SMUG1
NM_001243794.1	CHST12
NM_001243795.1	CHST12
NM_001243797.1	TSC22D1
NM_001243798.1	TSC22D1
NM_001243799.1	TSC22D1
NM_001243804.1	ZC4H2
NM_001243812.1	CACNA1B
NM_001243835.1	STAT4
NM_001243876.1	SPHK2
NM_001243877.1	TOB1
NM_001243878.1	FHL3
NM_001243879.1	TRA2B
NM_001243885.1	TOB1
NM_001243891.1	TPD52L2
NM_001243892.1	TPD52L2
NM_001243894.1	TPD52L2
NM_001243895.1	TPD52L2
NM_001243900.2	HDLBP
NM_001243925.1	MAPKAPK3
NM_001243926.1	MAPKAPK3
NM_001243936.1	PRPSAP2
NM_001243940.1	PRPSAP2
NM_001243941.1	PRPSAP2
NM_001243942.1	PRPSAP2
NM_001243947.1	PPP1R14A
NM_001243952.1	KIF2A
NM_001243953.1	KIF2A
NM_001243960.1	NEDD4L
NM_001243961.1	HLA-DQB1
NM_001243962.1	HLA-DQB1
NM_001243963.1	LRCH2
NM_001243965.1	HLA-DRB1
NM_001243974.1	PPP3CC
NM_001243975.1	PPP3CC
NM_001243984.1	RELA
NM_001243985.1	RELA
NM_001243996.2	RYR3
NM_001243998.1	SPIB
NM_001243999.1	SPIB
NM_001244.3	TNFSF8
NM_001244000.1	SPIB
NM_001244008.1	KIF1A
NM_001244014.1	PIANP
NM_001244015.1	PIANP
NM_001244038.1	ZNF726
NM_001244071.1	GIMAP6
NM_001244072.1	GIMAP6
NM_001244134.1	MAP3K8
NM_001244189.1	KIAA0586
NM_001244190.1	KIAA0586
NM_001244191.1	KIAA0586
NM_001244192.1	KIAA0586
NM_001244193.1	KIAA0586
NM_001244249.1	APEX1
NM_001244262.1	HBP1
NM_001244364.1	ARHGEF28
NM_001244390.1	NUDT2
NM_001244438.1	ARG1
NM_001244567.1	BID
NM_001244569.1	BID
NM_001244570.1	BID
NM_001244572.1	BID
NM_001244580.1	TRRAP
NM_001244583.1	TFEC
NM_001244584.2	C7orf55-LUC7L2
NM_001244585.1	LUC7L2
NM_001244604.1	DPYSL2
NM_001244606.1	IMMP2L
NM_001244638.1	ARID5B
NM_001244644.1	CHMP2B
NM_001244664.1	CHTOP
NM_001244666.1	STX5
NM_001244676.1	THNSL2
NM_001244678.1	THNSL2
NM_001244682.1	POU2F3
NM_001244683.1	PDE3A
NM_001244698.1	ZFP36L1
NM_001244701.1	ZFP36L1
NM_001244705.1	CSAD
NM_001244706.1	CSAD
NM_001244710.1	GFPT1
NM_001244713.1	RAD23B
NM_001244714.1	FGGY
NM_001244724.1	RAD23B
NM_001244734.1	MARVELD2
NM_001244735.1	TMEM126A
NM_001244752.1	ANKRD18B
NM_001244753.1	FCGR3B
NM_001244755.1	CLEC3A
NM_001244764.1	TNIP3
NM_001244766.1	MOB1B
NM_001244767.1	MOB1B
NM_001244808.1	FOXP1
NM_001244810.1	FOXP1
NM_001244812.1	FOXP1
NM_001244813.1	FOXP1
NM_001244814.1	FOXP1
NM_001244815.1	FOXP1
NM_001244816.1	FOXP1
NM_001244846.1	CHEK1
NM_001244847.1	KRTDAP
NM_001244856.1	CLEC4G
NM_001244871.1	DAB2
NM_001244883.1	DLST
NM_001244888.1	AGAP1
NM_001244889.1	UNC5B
NM_001244892.1	CXorf51B
NM_001244896.1	PTBP3
NM_001244897.1	PTBP3
NM_001244898.1	PTBP3
NM_001244910.1	FCGR1B
NM_001244926.1	PRPF4
NM_001244937.2	MST1R
NM_001244938.1	TXN
NM_001244944.1	STEAP2
NM_001244945.1	STEAP2
NM_001244946.1	STEAP2
NM_001244949.1	GPAM
NM_001244950.1	SPOCK2
NM_001244959.1	FRMD3
NM_001244960.1	FRMD3
NM_001244961.1	FRMD3
NM_001244962.1	FRMD3
NM_001244963.1	NAV2
NM_001244974.1	PPP1CC
NM_001244984.1	SEL1L
NM_001244990.1	PPP1R12A
NM_001244992.1	PPP1R12A
NM_001244995.1	TMPRSS13
NM_001245.6	SIGLEC6
NM_001245002.1	NFIC
NM_001245004.1	NFIC
NM_001245005.1	NFIC
NM_001246.3	ENTPD2
NM_001247.4	ENTPD6
NM_001247987.1	SYT13
NM_001247988.1	MIA2
NM_001247989.1	MIA2
NM_001247990.1	MIA2
NM_001247994.1	POU2F2
NM_001247996.1	ASAP1
NM_001247997.1	CLIP1
NM_001247999.1	MS4A6A
NM_001248.3	ENTPD3
NM_001248000.1	SET
NM_001248001.1	SET
NM_001248002.1	ARNTL2
NM_001248003.1	ARNTL2
NM_001248004.1	ARNTL2
NM_001248005.1	ARNTL2
NM_001248006.1	TRIM3
NM_001248007.1	TRIM3
NM_001248008.1	SKIL
NM_001248011.1	NUDT9
NM_001249.3	ENTPD5
NM_001250.5	CD40
NM_001251.2	CD68
NM_001251825.1	SP1
NM_001251828.1	MAGEA10
NM_001251829.1	SPP1
NM_001251830.1	SPP1
NM_001251845.1	TRPC1
NM_001251851.1	PIK3R5
NM_001251852.1	PIK3R5
NM_001251853.1	PIK3R5
NM_001251855.1	PIK3R5
NM_001251874.1	KHDC1
NM_001251877.1	USP4
NM_001251882.1	VIPR1
NM_001251883.1	VIPR1
NM_001251884.1	VIPR1
NM_001251885.1	VIPR1
NM_001251888.1	ASPSCR1
NM_001251901.1	CD83
NM_001251902.1	TNK1
NM_001251904.1	APPL2
NM_001251905.1	APPL2
NM_001251917.1	RAP1B
NM_001251918.1	RAP1B
NM_001251921.1	RAP1B
NM_001251922.1	RAP1B
NM_001251962.1	ARHGEF26
NM_001251963.1	ARHGEF26
NM_001251964.1	TP53AIP1
NM_001251967.1	SPOCK3
NM_001251969.1	SLC30A5
NM_001251971.1	SPAG9
NM_001251973.1	RCAN2
NM_001251974.1	RCAN2
NM_001251977.1	RCAN3
NM_001251978.1	RCAN3
NM_001251979.1	RCAN3
NM_001251980.1	RCAN3
NM_001251981.1	RCAN3
NM_001251982.1	RCAN3
NM_001251983.1	RCAN3
NM_001251984.1	RCAN3
NM_001251985.1	RCAN3
NM_001251987.1	TRDN
NM_001251989.1	GMNN
NM_001251990.1	GMNN
NM_001251991.1	GMNN
NM_001252.4	CD70
NM_001252006.1	PAPOLA
NM_001252007.1	PAPOLA
NM_001252008.1	LUZP2
NM_001252010.1	LUZP2
NM_001252018.1	TOR2A
NM_001252020.1	TRPM1
NM_001252021.1	TOR2A
NM_001252023.1	TOR2A
NM_001252024.1	TRPM1
NM_001252030.1	TRPM1
NM_001252036.1	RAB5B
NM_001252037.1	RAB5B
NM_001252039.1	RAB5C
NM_001252043.1	TAOK2
NM_001252049.1	PCMT1
NM_001252050.1	PCMT1
NM_001252051.1	PCMT1
NM_001252052.1	PCMT1
NM_001252053.1	PCMT1
NM_001252065.1	SYT7
NM_001252073.1	SLC9A3R2
NM_001252075.1	SLC9A3R2
NM_001252076.1	SLC9A3R2
NM_001252078.1	USP15
NM_001252079.1	USP15
NM_001252090.1	MRAS
NM_001252091.1	MRAS
NM_001252092.1	MRAS
NM_001252093.1	MRAS
NM_001252100.1	KIF21B
NM_001252102.1	KIF21B
NM_001252103.1	KIF21B
NM_001252119.1	PASK
NM_001252120.1	PASK
NM_001252122.1	PASK
NM_001252124.1	PASK
NM_001252127.1	AP4E1
NM_001252129.1	LSM4
NM_001252148.1	SLC39A9
NM_001252150.1	SLC39A9
NM_001252151.1	SLC39A9
NM_001252152.1	SLC39A9
NM_001252156.1	GEMIN5
NM_001252195.1	C9orf24
NM_001252197.1	IRX5
NM_001252204.1	C4A
NM_001252216.1	FAM19A1
NM_001252226.1	PLK2
NM_001252231.1	SEC24A
NM_001252269.1	FAM69A
NM_001252270.1	FAM69A
NM_001252271.1	FAM69A
NM_001252273.1	FAM69A
NM_001252274.2	UGT2A1
NM_001252275.2	UGT2A1
NM_001252290.1	TNFSF8
NM_001252294.1	SPDEF
NM_001252296.1	CEBPG
NM_001252328.1	KIAA0319
NM_001252334.1	SH2D3C
NM_001252335.1	CGNL1
NM_001252338.2	CDH4
NM_001252339.2	CDH4
NM_001252377.1	NT5C
NM_001252383.1	CGA
NM_001252385.1	TNIP1
NM_001252386.1	TNIP1
NM_001252390.1	TNIP1
NM_001252391.1	TNIP1
NM_001252392.1	TNIP1
NM_001252393.1	TNIP1
NM_001252402.2	TMEM249
NM_001252404.2	TMEM249
NM_001252406.2	ZBTB7B
NM_001252499.2	RHNO1
NM_001252500.2	RHNO1
NM_001252507.2	C14orf132
NM_001252511.1	SOAT1
NM_001252512.1	SOAT1
NM_001252597.1	CLPS
NM_001252598.1	CLPS
NM_001252607.1	THBS3
NM_001252608.1	THBS3
NM_001252612.1	ZNF638
NM_001252613.1	ZNF638
NM_001252617.1	LCN1
NM_001252618.1	LCN1
NM_001252619.1	LCN1
NM_001252624.1	SLC8A1
NM_001252634.1	THRB
NM_001252641.1	URI1
NM_001252650.1	RDH11
NM_001252652.1	SLC1A2
NM_001252657.1	PP2D1
NM_001252660.1	EPB41L2
NM_001252668.1	GULP1
NM_001252669.1	GULP1
NM_001252675.1	ACSS1
NM_001252676.1	ACSS1
NM_001252677.1	ACSS1
NM_001252678.1	BBS4
NM_001253.3	CDC5L
NM_001253357.1	TIE1
NM_001253379.1	RPL15
NM_001253380.1	RPL15
NM_001253382.1	RPL15
NM_001253383.1	RPL15
NM_001253384.1	RPL15
NM_001253387.1	CHL1
NM_001253388.1	CHL1
NM_001253389.1	ISYNA1
NM_001253676.1	TBPL1
NM_001253693.1	MCOLN3
NM_001253697.1	ERBIN
NM_001253698.1	ERBIN
NM_001253699.1	ERBIN
NM_001253701.1	ERBIN
NM_001253723.1	DPYSL5
NM_001253724.1	DPYSL5
NM_001253725.1	KREMEN2
NM_001253726.1	KREMEN2
NM_001253727.1	RXFP1
NM_001253728.1	RXFP1
NM_001253729.1	RXFP1
NM_001253730.1	RXFP1
NM_001253732.1	RXFP1
NM_001253733.1	RXFP1
NM_001253750.1	CLECL1
NM_001253764.1	SRA1
NM_001253771.1	SYNCRIP
NM_001253775.1	CREB3L2
NM_001253790.1	SMIM22
NM_001253791.1	SMIM22
NM_001253792.1	ZNF444
NM_001253793.1	SMIM22
NM_001253794.1	SMIM22
NM_001253798.1	ZNF331
NM_001253799.1	ZNF331
NM_001253800.1	ZNF331
NM_001253801.2	ZNF331
NM_001253815.1	SLC52A2
NM_001253816.1	SLC52A2
NM_001253823.1	BLVRA
NM_001253826.1	GALNT14
NM_001253827.1	GALNT14
NM_001253829.1	PTPDC1
NM_001253830.1	PTPDC1
NM_001253835.1	IGFBP7
NM_001253837.1	PKD2L1
NM_001253845.1	ADM2
NM_001253846.1	GMDS
NM_001253849.1	VTCN1
NM_001253850.1	VTCN1
NM_001253852.2	AP4B1
NM_001253853.2	AP4B1
NM_001253854.1	SPAG6
NM_001253855.1	SPAG6
NM_001253861.1	MND1
NM_001253866.1	YME1L1
NM_001253875.1	UXS1
NM_001253876.1	UXS1
NM_001253881.1	MED27
NM_001253882.1	MED27
NM_001253884.1	ALPK1
NM_001253891.1	DGAT2
NM_001253900.1	MEST
NM_001253901.1	MEST
NM_001253902.1	MEST
NM_001253908.1	AKR1C3
NM_001253909.1	AKR1C3
NM_001253912.1	TBC1D1
NM_001253913.1	TBC1D1
NM_001253914.1	TBC1D1
NM_001253915.1	TBC1D1
NM_001254.3	CDC6
NM_001254717.1	DAXX
NM_001254718.1	MYBPC1
NM_001254719.1	MYBPC1
NM_001254720.1	MYBPC1
NM_001254721.1	MYBPC1
NM_001254722.1	MYBPC1
NM_001254723.1	MYBPC1
NM_001254726.1	AP4S1
NM_001254727.1	AP4S1
NM_001254728.1	AP4S1
NM_001254729.1	AP4S1
NM_001254732.2	SPECC1L
NM_001254733.1	SPECC1L
NM_001254734.1	TGM6
NM_001254736.1	NABP1
NM_001254738.1	RND3
NM_001254740.1	SLC24A1
NM_001254748.1	RGS5
NM_001254749.1	RGS5
NM_001254750.1	CD6
NM_001254751.1	CD6
NM_001254752.1	UQCRB
NM_001254753.1	ABHD14B
NM_001254755.1	CYB5D2
NM_001254756.1	CYB5D2
NM_001254757.1	ST3GAL4
NM_001254758.1	ST3GAL4
NM_001254759.1	ST3GAL4
NM_001254943.1	CCDC88A
NM_001254949.1	SMARCAD1
NM_001254952.2	ATAT1
NM_001255.2	CDC20
NM_001255975.1	PIWIL3
NM_001255976.1	PMEPA1
NM_001255978.1	CREB3L4
NM_001255979.1	CREB3L4
NM_001255980.1	CREB3L4
NM_001255981.1	CREB3L4
NM_001255982.1	COLEC11
NM_001255983.1	COLEC11
NM_001255984.1	COLEC11
NM_001255985.1	COLEC11
NM_001255986.1	COLEC11
NM_001255987.1	COLEC11
NM_001255988.1	COLEC11
NM_001255989.1	COLEC11
NM_001255995.1	IFT43
NM_001256.4	CDC27
NM_001256006.1	SYT14
NM_001256007.2	PNPLA8
NM_001256008.2	PNPLA8
NM_001256009.2	PNPLA8
NM_001256010.2	PNPLA8
NM_001256011.2	PNPLA8
NM_001256012.1	MYH10
NM_001256014.1	PSMC3IP
NM_001256015.1	PSMC3IP
NM_001256016.1	PSMC3IP
NM_001256017.2	GP6
NM_001256020.1	TRDN
NM_001256021.1	TRDN
NM_001256022.1	TRDN
NM_001256023.1	CLIC5
NM_001256024.1	ARHGAP22
NM_001256025.2	ARHGAP22
NM_001256026.1	ARHGAP22
NM_001256030.1	CD48
NM_001256041.1	MYO1A
NM_001256045.1	PIK3CB
NM_001256046.1	C19orf12
NM_001256047.1	C19orf12
NM_001256053.1	ANKRD26
NM_001256054.2	C9orf72
NM_001256062.2	THTPA
NM_001256063.1	CNTN1
NM_001256064.1	CNTN1
NM_001256067.1	NOXA1
NM_001256068.1	NOXA1
NM_001256071.2	RNF213
NM_001256074.1	COL25A1
NM_001256080.1	KLK2
NM_001256088.1	C11orf45
NM_001256090.1	ATF2
NM_001256091.1	ATF2
NM_001256092.1	ATF2
NM_001256093.1	ATF2
NM_001256094.1	ATF2
NM_001256095.1	MYH10
NM_001256099.1	CTHRC1
NM_001256105.1	WNT5A
NM_001256106.2	CD101
NM_001256109.2	CD101
NM_001256111.2	CD101
NM_001256113.1	TDRP
NM_001256114.1	LHX8
NM_001256119.1	NAA10
NM_001256120.1	NAA10
NM_001256121.1	S100PBP
NM_001256124.1	TRIM65
NM_001256125.1	CHIT1
NM_001256126.1	CERS6
NM_001256127.1	NSUN4
NM_001256128.1	NSUN4
NM_001256129.1	ARL8A
NM_001256134.1	PROZ
NM_001256135.1	CSE1L
NM_001256139.1	CAPG
NM_001256140.1	CAPG
NM_001256141.1	FSBP
NM_001256153.2	ALOX5
NM_001256154.2	ALOX5
NM_001256155.2	ARMCX4
NM_001256160.1	ATF7IP2
NM_001256163.1	BIRC2
NM_001256164.1	TMCO1
NM_001256165.1	TMCO1
NM_001256166.1	BIRC2
NM_001256167.1	ZNF620
NM_001256168.1	ZNF620
NM_001256169.1	APOM
NM_001256171.1	ZNF85
NM_001256172.1	ZNF85
NM_001256173.1	ZNF85
NM_001256182.1	ANKRD11
NM_001256183.1	ANKRD11
NM_001256185.1	SNX12
NM_001256186.1	SNX12
NM_001256187.1	SNX12
NM_001256188.1	SNX12
NM_001256192.1	PDCD6IP
NM_001256196.1	ARAF
NM_001256197.1	ARAF
NM_001256213.1	ATP1A3
NM_001256214.1	ATP1A3
NM_001256235.1	PGAP2
NM_001256236.1	PGAP2
NM_001256237.1	PGAP2
NM_001256238.1	PGAP2
NM_001256239.1	PGAP2
NM_001256240.1	PGAP2
NM_001256252.1	ADGRE1
NM_001256253.1	ADGRE1
NM_001256254.1	ADGRE1
NM_001256255.1	ADGRE1
NM_001256264.1	FLII
NM_001256265.1	FLII
NM_001256266.1	LMNTD1
NM_001256267.1	MYPN
NM_001256268.1	MYPN
NM_001256269.1	KIF22
NM_001256270.1	KIF22
NM_001256271.1	VSX1
NM_001256272.1	VSX1
NM_001256276.1	RAB34
NM_001256277.1	RAB34
NM_001256278.1	RAB34
NM_001256279.1	ZNF26
NM_001256280.1	ZNF26
NM_001256281.2	RAB34
NM_001256282.1	KRT8
NM_001256293.1	KRT8
NM_001256295.1	ETS2
NM_001256296.1	IGLL5
NM_001256299.2	CRHR1-IT1-CRHR1
NM_001256301.1	HPGD
NM_001256302.1	ETF1
NM_001256303.1	DTNB
NM_001256304.1	DTNB
NM_001256305.1	HPGD
NM_001256306.1	HPGD
NM_001256307.1	HPGD
NM_001256308.2	DTNB
NM_001256310.1	GLS
NM_001256312.1	STK3
NM_001256313.1	STK3
NM_001256314.1	SLC5A1
NM_001256316.1	CHST9
NM_001256317.1	TMPRSS3
NM_001256321.2	THTPA
NM_001256322.2	THTPA
NM_001256323.2	THTPA
NM_001256324.1	CACNA1G
NM_001256325.1	CACNA1G
NM_001256326.1	CACNA1G
NM_001256327.1	CACNA1G
NM_001256328.1	CACNA1G
NM_001256329.1	CACNA1G
NM_001256330.1	CACNA1G
NM_001256331.1	CACNA1G
NM_001256332.1	CACNA1G
NM_001256333.1	CACNA1G
NM_001256334.1	CACNA1G
NM_001256335.1	PTGES2
NM_001256336.1	CHD1L
NM_001256337.1	CHD1L
NM_001256338.1	CHD1L
NM_001256339.1	NKX3-1
NM_001256346.1	SEMA5B
NM_001256347.1	SEMA5B
NM_001256348.1	SEMA5B
NM_001256355.1	UBE2L3
NM_001256356.1	UBE2L3
NM_001256358.1	PTK6
NM_001256359.1	CACNA1G
NM_001256360.1	CACNA1G
NM_001256361.1	CACNA1G
NM_001256368.1	LOC100144595
NM_001256369.1	CCR9
NM_001256370.1	SAMSN1
NM_001256371.1	E2F8
NM_001256372.1	E2F8
NM_001256378.1	MCMBP
NM_001256379.1	MCMBP
NM_001256385.1	LRRC39
NM_001256386.1	LRRC39
NM_001256387.1	LRRC39
NM_001256394.1	NOL8
NM_001256395.1	RHBG
NM_001256396.1	RHBG
NM_001256397.1	BCO2
NM_001256398.1	BCO2
NM_001256399.1	ELOVL1
NM_001256400.1	BCO2
NM_001256401.1	ELOVL1
NM_001256402.1	ELOVL1
NM_001256403.1	PRELID3B
NM_001256404.1	DENND2C
NM_001256405.1	KDM2A
NM_001256409.1	LRRC42
NM_001256410.1	RAB18
NM_001256411.1	RAB18
NM_001256412.1	RAB18
NM_001256413.1	HVCN1
NM_001256414.1	GNAI1
NM_001256415.1	RAB18
NM_001256416.2	NBPF3
NM_001256417.2	NBPF3
NM_001256418.1	ATPAF1
NM_001256420.1	MAPRE2
NM_001256421.1	GPAT3
NM_001256422.1	GPAT3
NM_001256423.1	ARHGAP19
NM_001256424.1	GUCY1A2
NM_001256425.1	PDLIM5
NM_001256426.1	PDLIM5
NM_001256427.1	PDLIM5
NM_001256428.1	PDLIM5
NM_001256429.1	PDLIM5
NM_001256430.1	STON2
NM_001256433.2	PCYT2
NM_001256434.2	PCYT2
NM_001256435.2	PCYT2
NM_001256438.1	CABLES1
NM_001256440.1	C19orf47
NM_001256441.1	C19orf47
NM_001256442.1	PRRT2
NM_001256443.1	PRRT2
NM_001256447.1	BCAP31
NM_001256449.1	GUCY1A3
NM_001256455.1	ZBTB7B
NM_001256456.1	INTS11
NM_001256460.1	INTS11
NM_001256461.1	SLC12A2
NM_001256462.1	INTS11
NM_001256463.1	INTS11
NM_001256468.1	KAT6B
NM_001256469.1	KAT6B
NM_001256470.1	PLEKHA5
NM_001256475.1	THEGL
NM_001256476.1	WDR92
NM_001256477.1	CMPK2
NM_001256478.1	CMPK2
NM_001256482.1	EPHX2
NM_001256483.1	EPHX2
NM_001256484.1	EPHX2
NM_001256486.1	GOLGB1
NM_001256487.1	GOLGB1
NM_001256488.1	GOLGB1
NM_001256494.1	MAN2C1
NM_001256495.1	MAN2C1
NM_001256496.1	MAN2C1
NM_001256497.2	CYP3A7-CYP3A51P
NM_001256502.1	CADM2
NM_001256503.1	CADM2
NM_001256504.1	CADM2
NM_001256505.1	CADM2
NM_001256508.1	TBC1D10C
NM_001256510.1	SSBP1
NM_001256511.1	SSBP1
NM_001256512.1	SSBP1
NM_001256513.1	SSBP1
NM_001256523.1	ZNF74
NM_001256524.1	ZNF74
NM_001256525.1	ZNF74
NM_001256526.1	C9orf69
NM_001256530.1	TSPO
NM_001256531.1	TSPO
NM_001256532.1	MSTO1
NM_001256533.1	MSTO1
NM_001256534.1	SLC25A1
NM_001256536.1	PRMT8
NM_001256538.1	C20orf141
NM_001256539.3	NOP16
NM_001256540.3	NOP16
NM_001256541.1	TMEM204
NM_001256542.1	LIMS2
NM_001256545.1	MEGF10
NM_001256546.1	TMEM126B
NM_001256547.1	TMEM126B
NM_001256549.1	PCGF5
NM_001256550.1	MPP5
NM_001256552.1	NEIL1
NM_001256560.1	DNASE1L3
NM_001256566.1	F2RL2
NM_001256567.1	CHRNB4
NM_001256568.1	PPFIBP2
NM_001256569.1	PPFIBP2
NM_001256570.1	RXRG
NM_001256571.1	RXRG
NM_001256573.1	CHRNA4
NM_001256574.1	ENC1
NM_001256575.1	ENC1
NM_001256576.1	ENC1
NM_001256577.2	RPL10
NM_001256579.2	LOC388813
NM_001256580.2	RPL10
NM_001256584.1	GYPC
NM_001256585.1	MGLL
NM_001256588.1	SLC39A2
NM_001256596.1	C8orf22
NM_001256597.1	C8orf22
NM_001256598.1	C8orf22
NM_001256599.1	TRIM46
NM_001256600.1	TRIM46
NM_001256601.1	TRIM46
NM_001256604.1	GLMP
NM_001256605.1	GLMP
NM_001256608.1	GLMP
NM_001256609.1	GLMP
NM_001256613.1	HTR3E
NM_001256614.1	HTR3E
NM_001256615.1	LOC149373
NM_001256617.1	TUBGCP2
NM_001256618.1	TUBGCP2
NM_001256619.1	R3HCC1L
NM_001256620.1	R3HCC1L
NM_001256621.1	R3HCC1L
NM_001256627.1	BRSK2
NM_001256629.1	BRSK2
NM_001256630.1	BRSK2
NM_001256643.1	LTA4H
NM_001256644.1	LTA4H
NM_001256648.1	ZNF43
NM_001256649.1	ZNF43
NM_001256650.1	ZNF43
NM_001256651.1	ZNF43
NM_001256653.1	ZNF43
NM_001256654.1	ZNF43
NM_001256657.1	CHRND
NM_001256658.1	TEAD2
NM_001256659.1	TEAD2
NM_001256660.1	TEAD2
NM_001256661.1	TEAD2
NM_001256662.1	TEAD2
NM_001256663.1	SLC47A2
NM_001256666.1	FAM193A
NM_001256667.1	FAM193A
NM_001256668.1	FAM193A
NM_001256670.1	DPP3
NM_001256672.1	STOML1
NM_001256673.1	STOML1
NM_001256674.1	STOML1
NM_001256675.1	STOML1
NM_001256676.1	STOML1
NM_001256677.1	STOML1
NM_001256678.1	KIAA0391
NM_001256679.1	KIAA0391
NM_001256680.1	KIAA0391
NM_001256681.1	KIAA0391
NM_001256685.1	MELK
NM_001256686.1	CSNK2A3
NM_001256687.1	MELK
NM_001256688.1	MELK
NM_001256689.1	MELK
NM_001256690.1	MELK
NM_001256691.1	MELK
NM_001256692.1	MELK
NM_001256693.1	MELK
NM_001256695.1	PRDM11
NM_001256696.1	PRDM11
NM_001256699.1	STPG3
NM_001256700.1	STPG3
NM_001256701.1	STPG3
NM_001256702.1	USP3
NM_001256703.1	GABRR1
NM_001256704.1	GABRR1
NM_001256706.1	ANAPC10
NM_001256707.1	ANAPC10
NM_001256708.1	ANAPC10
NM_001256709.1	ANAPC10
NM_001256710.1	ANAPC10
NM_001256711.1	ANAPC10
NM_001256712.1	ANAPC10
NM_001256714.1	DNAAF3
NM_001256715.1	DNAAF3
NM_001256716.1	DNAAF3
NM_001256717.1	SNAP91
NM_001256718.1	SNAP91
NM_001256720.1	CLEC19A
NM_001256721.1	CCT4
NM_001256725.1	USP39
NM_001256726.1	USP39
NM_001256727.1	USP39
NM_001256728.1	USP39
NM_001256732.2	SSBP2
NM_001256733.2	SSBP2
NM_001256734.2	SSBP2
NM_001256735.2	SSBP2
NM_001256736.2	SSBP2
NM_001256737.1	GDAP1L1
NM_001256738.1	GDAP1L1
NM_001256739.1	GDAP1L1
NM_001256740.1	GDAP1L1
NM_001256741.1	CNOT10
NM_001256742.1	CNOT10
